e, e_dot, e_int, stamp, 
0.9390460879936603, 0.00014309987923325865, 0.18780349688620343, 28764000000, 
0.9390444574749114, 0.00013750068470190038, 0.18780625018253816, 28798000000, 
0.9390499056532977, 1.2725532124724381e-05, 0.18780936340812462, 28832000000, 
0.9390499056532977, 1.81605946210824e-05, 0.18780961791876713, 28832000000, 
0.9391192485704694, 0.000231143057238814, 0.18781460399180433, 29002000000, 
0.935304946683675, -0.012483196565408935, 0.18756494006049615, 29036000000, 
0.9348075168310759, -0.014372439131311587, 0.1872821141390147, 29070000000, 
0.9203425269489061, -0.04987473244922991, 0.18603033269757713, 29138000000, 
0.8823251571578155, -0.1749411989108681, 0.1824983467291865, 29172000000, 
0.8605012516385546, -0.19947091770117145, 0.17754459571635173, 29240000000, 
0.852769427466605, -0.0985190989707015, 0.17303972241753168, 29274000000, 
0.8277880868650072, -0.10904388257849155, 0.16940391773134444, 29342000000, 
0.8129598836652271, -0.13269847933792636, 0.16623449319978928, 29410000000, 
0.7813355316818157, -0.15484185061063824, 0.16147223348080333, 29444000000, 
0.7599574945491738, -0.1766746303868442, 0.15695019399308113, 29478000000, 
0.7287379629689067, -0.17532522904302997, 0.15133539927999307, 29546000000, 
0.7158653980504638, -0.14697365499570014, 0.14697072370456962, 29614000000, 
0.6954147625220584, -0.11107733482282778, 0.14266787490276195, 29682000000, 
0.6782686361526722, -0.12532253965930532, 0.13930325311501293, 29750000000, 
0.6452405079899768, -0.16724751510693858, 0.13459492711098048, 29818000000, 
0.6199281412619773, -0.19446831630231642, 0.12956248569364176, 29852000000, 
0.6007914121802431, -0.14816365269911222, 0.12439733742881315, 29886000000, 
0.5644959432399783, -0.18477399340666315, 0.11901436644547991, 29920000000, 
0.5644959432399783, -0.12098489646754935, 0.11531888657734665, 29920000000, 
0.5381567288039386, -0.08779738145346568, 0.11114324101892635, 30022000000, 
0.521026379016379, -0.14489854741199756, 0.1082452700706864, 30056000000, 
0.5029493928980939, -0.11735778635281562, 0.10414216671456077, 30124000000, 
0.4987955359475075, -0.07410281022957192, 0.10151808719079869, 30158000000, 
0.4982136202014871, -0.015785908988689517, 0.09999723660313922, 30226000000, 
0.4544996746982084, -0.1476528708309969, 0.09676725538981354, 30260000000, 
0.43746222980484495, -0.20250463465547375, 0.09267836831363603, 30328000000, 
0.410239515785913, -0.14753386304098468, 0.08681342801926444, 30362000000, 
0.4002259311327385, -0.1241209955736881, 0.0831951784482331, 30396000000, 
0.39510389877469043, -0.05045205670407523, 0.08037128971288947, 30464000000, 
0.37531929892424065, -0.08302210736165956, 0.07804327525544463, 30498000000, 
0.354861612103725, -0.1341409555698847, 0.07501898732017707, 30532000000, 
