e, e_dot, e_int, stamp, 
12.206532219540616, -9.46974796060355e-06, 2.441306633303083, 15096000000, 
12.206532819595772, 2.000183852620315e-06, 2.4413064839118004, 15164000000, 
12.206534021754205, 6.007378630101812e-06, 2.4413066040593727, 15232000000, 
12.206535683011026, 9.544717514131662e-06, 2.4413068349574, 15300000000, 
12.20652980941904, -1.4041117217071056e-05, 2.4413066342789516, 15334000000, 
12.206529888159183, -1.9316172809406378e-05, 2.44130635870595, 15368000000, 
12.206514414807108, -5.131537310631984e-05, 2.4413049408256886, 15402000000, 
12.205917447105154, -0.0020414701800971122, 2.4412641166714297, 15436000000, 
12.204593600838683, -0.006402713228084167, 2.441135030850063, 15470000000, 
12.203153990439759, -0.00921152221798375, 2.4409110025589063, 15538000000, 
12.201114600719041, -0.011596667065472133, 2.4405908127998326, 15606000000, 
12.198022480681736, -0.017105032526743003, 2.440152738122703, 15674000000, 
12.197204280684462, -0.01303440011526528, 2.4397560908056826, 15708000000, 
12.192399384847555, -0.01874365278060471, 2.43917507641425, 15742000000, 
12.188189697917643, -0.030048609222728118, 2.4385195575633105, 15776000000, 
12.185562126995535, -0.022790859506732392, 2.437743413984049, 15810000000, 
12.180311207616953, -0.026261634335635147, 2.436937535502009, 15844000000, 
12.178878289370958, -0.02227945874858861, 2.4363167749322296, 15878000000, 
12.17577513608264, -0.015120238447708564, 2.43566430887137, 15912000000, 
12.171733940046163, -0.0238144977493171, 2.435092491033317, 15980000000, 
12.170233223525345, -0.01847304185764879, 2.4345161533102764, 16014000000, 
12.169482345963958, -0.0075053136073499616, 2.4340966339690313, 16048000000, 
12.166017963254816, -0.014050867568429956, 2.4337155688496077, 16116000000, 
12.159814140483066, -0.03222735160297437, 2.4330209633134556, 16150000000, 
12.157136256316452, -0.029605689794548102, 2.4321978906702886, 16184000000, 
12.154115135410024, -0.018996683576807765, 2.4314043688139697, 16218000000, 
12.149824732473377, -0.024371746143584023, 2.43073840827999, 16252000000, 
12.147248468210401, -0.02288889066540752, 2.4300792224062535, 16320000000, 
12.145392624021504, -0.014773694839576024, 2.4294977216470186, 16354000000, 
12.138428939220473, -0.029398429966427386, 2.428738002096825, 16388000000, 
12.136896992083967, -0.02831877312512295, 2.4280479036883964, 16422000000, 
12.132910574594925, -0.018394548751826296, 2.4272157670599577, 16456000000, 
12.126938444521134, -0.0331951585427781, 2.4264497340800015, 16490000000, 
12.126309639691788, -0.022003116343789486, 2.42574391058719, 16524000000, 
12.122830240804348, -0.013694012389287025, 2.4250718883344846, 16558000000, 
12.120963510833127, -0.01782042952887271, 2.424673559421951, 16592000000, 
12.114569918627952, -0.027534407254652393, 2.4238909113510285, 16626000000, 
12.109719061802979, -0.03748149676715921, 2.423016832750937, 16694000000, 
12.107589455026469, -0.023268212004943223, 2.422125229030493, 16728000000, 
12.106172012540881, -0.01182349754032567, 2.4215653686246887, 16762000000, 
12.104078577683113, -0.01170292447785215, 2.421189336350031, 16796000000, 
12.100471561858805, -0.019001502273585658, 2.420714810138853, 16864000000, 
12.101804399935014, -0.007580592493662645, 2.420423635965129, 16898000000, 
12.092832245118746, -0.025464389133530812, 2.4196738804608375, 16932000000, 
12.084760328839678, -0.056813570317787075, 2.4186264649262292, 16966000000, 
12.08283156190343, -0.03333561071772332, 2.417361609057457, 17000000000, 
12.080695546381584, -0.013549274860314616, 2.4165524958083124, 17034000000, 
12.074317810191827, -0.028379172372006895, 2.4158563278984557, 17102000000, 
12.070041127979966, -0.0355147280053932, 2.415003632303559, 17170000000, 
12.06470793981165, -0.032032901267259696, 2.4139377918655627, 17238000000, 
12.059400476326584, -0.03546883884460783, 2.4129433029412137, 17306000000, 
12.050997505733557, -0.045701446926974164, 2.4116737281247858, 17340000000, 
12.044922537234678, -0.048259796973019554, 2.4103547012863213, 17374000000, 
12.037766638967526, -0.04410288922010489, 2.408912445462384, 17408000000, 
12.03443316167801, -0.03496458518889393, 2.407808155858681, 17442000000, 
12.03013588194039, -0.02543585675711668, 2.4068223788390615, 17510000000, 
12.02859786336553, -0.01945099437493288, 2.4062111271322615, 17544000000, 
12.023335412997929, -0.022668229808206302, 2.405471277220257, 17578000000, 
12.017774728140612, -0.03607711741639245, 2.404647200300271, 17612000000, 
12.012403770823651, -0.03643880724759185, 2.403567594130813, 17680000000, 
12.012403770823651, -0.01790319105653637, 2.402838817985861, 17680000000, 
12.006332982615037, -0.020235960695380584, 2.402076034950823, 17748000000, 
12.003681181216699, -0.029075298689840896, 2.4014945289770258, 17782000000, 
12.000245306288257, -0.020292254422601037, 2.400683964674666, 17816000000, 
11.99366377475648, -0.033391354867398824, 2.399839350817429, 17918000000, 
11.988959520272413, -0.037619286719478374, 2.398857906754477, 17952000000, 
11.986701775634723, -0.023206663739188116, 2.3979550047109077, 17986000000, 
11.982558851284995, -0.021335563291392152, 2.397214676479476, 18020000000, 
11.979485736384534, -0.024053464167295147, 2.39658309088695, 18054000000, 
11.968358819603203, -0.047333438939306895, 2.3953602271515155, 18122000000, 
11.963651374870853, -0.05278120504560372, 2.3940997287239063, 18156000000, 
11.959566577428825, -0.02930747391459339, 2.3927717847935255, 18190000000, 
11.957503102493217, -0.020494241258788293, 2.3920480703195266, 18224000000, 
11.955432844843333, -0.01377910861830737, 2.391500168317692, 18258000000, 
11.947921795279026, -0.03193769071396938, 2.3907238495077054, 18292000000, 
11.946820804888794, -0.0287067998484621, 2.390011696334077, 18326000000, 
11.945223693254158, -0.008993673416224368, 2.389331086228132, 18360000000, 
