imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.04024370590497463, -0.0010788812635118526, -0.008048741180994926, 2.815022216840182e-13, 6.539871771534429e-06, 4.304399711769429e-08, 5.299334379020159e-05, -1.0061860597332382e-06, 5.299334379020159e-05, -1.0061860597332382e-06, 4028000000, 
-0.04358259536269433, -0.029176512895399534, -0.019076438871655933, -2.934276617966417e-12, -2.5480989150261645e-05, 1.1515552244314218e-07, 5.309877345533191e-05, -1.0061859927382472e-06, 5.43077399926308e-05, -1.0042517363681266e-06, 4033000000, 
-0.05692864532284814, -0.0007103128229984114, -0.03266618781353252, -1.3141110453874256e-10, -0.0005151927158830749, 2.550717440045617e-07, 5.770780171615042e-05, -1.006183062497124e-06, 5.6008418795616075e-05, -1.0023174561118892e-06, 4063000000, 
-0.06943213503011106, -0.017025843281492644, -0.04657478668888018, -3.6052355608603732e-09, -0.00099097215484969, 3.6380795799526907e-06, 5.9352426169573904e-05, -1.0061825117138793e-06, 5.7836478052134716e-05, -1.00052326415985e-06, 4088000000, 
-0.04656561959769244, -0.00844507124854428, -0.046545189537598904, -1.052529347130849e-08, -0.001874948270342215, 5.613644727055545e-06, 6.597159014679863e-05, -1.0061808935063582e-06, 5.951835965062181e-05, -9.988483869520752e-07, 4133000000, 
-0.05265966175961078, 0.0025440095491248444, -0.04889046545475725, -3.758428558099475e-09, -0.0022352379845926237, 1.6814444743719117e-06, 6.535684211306048e-05, -1.0061832282493624e-06, 6.086624035782244e-05, -9.973804842086542e-07, 4170000000, 
-0.0890854091623352, -0.02460186007727275, -0.06450449175634934, -7.016445047449592e-08, -0.003118549971062052, 2.2499062425028497e-05, 7.129184040250702e-05, -1.0062798411338922e-06, 6.170460558101156e-05, -9.961091926351997e-07, 4216000000, 
-0.08583216498744085, 0.009545804183379598, -0.07277447493771307, -7.1654547359017555e-09, -0.003459988811316911, 2.070947371987166e-06, 8.4983470004333e-05, -1.0062255398989482e-06, 6.197219044396037e-05, -9.950880558020434e-07, 4251000000, 
-0.04261241352889088, 0.002913372505314691, -0.060977308602715725, 7.70113687590741e-09, -0.002776900878714176, -2.773284756016702e-06, 9.910904493566308e-05, -1.006190582106152e-06, 6.164638552088362e-05, -9.94303399959205e-07, 4270000000, 
-0.05983855312021248, -0.007657102956197887, -0.06050176043863302, -1.8388564085629482e-08, -0.002846878083724426, 6.459203220101599e-06, 9.757562224393756e-05, -1.0062589923937129e-06, 6.0816781566232165e-05, -9.93664300803537e-07, 4301000000, 
-0.054060132453307826, -0.012575619784296069, -0.057922818339522265, -6.632978975262863e-08, -0.003741982784474986, 1.7725840436204717e-05, 8.766323632456238e-05, -1.0064028331934113e-06, 5.960438386323789e-05, -9.93188020368195e-07, 4357000000, 
-0.061837161183393254, 0.0004652329560550534, -0.05934790268989934, -4.6382760872414636e-08, -0.004671744394911538, 9.928360148071183e-06, 7.270913974181031e-05, -1.0064821386794528e-06, 5.8205357663233e-05, -9.92789376974523e-07, 4423000000, 
-0.01208529401607615, 0.015942854382672154, -0.04083303834109015, 9.004811133858595e-08, -0.0038802701544120946, -2.3206660298174337e-05, 5.786528284272506e-05, -1.0060340932708022e-06, 5.679386435281572e-05, -9.922956086961704e-07, 4466000000, 
-0.044519464371442566, 0.005040362025512352, -0.04220368214312349, 8.021351467946608e-08, -0.003658022621947805, -2.192810787942979e-05, 3.9423156321271755e-05, -1.0059578990708198e-06, 5.558187726711439e-05, -9.919452028429749e-07, 4516000000, 
-0.040489191588765724, 0.01711372648614001, -0.041462296330458795, 1.3738068297499455e-07, -0.003624699945018217, -3.790125667196546e-05, 2.2431502637562352e-05, -1.0054327478659167e-06, 5.4716512605217865e-05, -9.915344359116355e-07, 4571000000, 
